Identificador de URL,Nombre,Categorías,Precio,Precio promocional,Peso (kg),Alto (cm),Ancho (cm),Profundidad (cm),Stock,SKU,Código de barras,Mostrar en tienda,Envío sin cargo,Descripción,Tags,Título para SEO,Descripción para SEO,Marca,Producto Físico,Nombre de propiedad 1,Valor de propiedad 1,Nombre de propiedad 2,Valor de propiedad 2,Nombre de propiedad 3,Valor de propiedad 3,Imágenes
audifonos-xiaomi-redmi-buds-4-lite,Audífonos Xiaomi Redmi Buds 4 Lite - TWS Bluetooth 5.3,Tecnología,149900,94900,,,,,,,,SI,SI,"Con la avanzada tecnología Bluetooth 5.3, la conexión es rápida y estable, garantizando una experiencia de sonido envolvente y clara, sin interrupciones ni distorsión, además de optimizar el consumo de batería.

Fácil uso y carga inteligente
Saque los auriculares del estuche de carga y se emparejarán automáticamente con el dispositivo configurado. Su estuche compacto proporciona hasta 20 horas de reproducción continua, permitiendo múltiples recargas y extendiendo el tiempo de uso total.

Diseño ergonómico y resistente al agua
Los auriculares cuentan con un diseño semi in-ear y materiales ligeros que ofrecen comodidad y estabilidad, incluso durante actividades deportivas. Su protección IP54 los hace resistentes al sudor y la lluvia, ideales para entrenamientos y uso diario.",importado-de-vortixy,Xiaomi Redmi Buds 4 Lite | Audífonos Bluetooth,"Audífonos Xiaomi Redmi Buds 4 Lite con Bluetooth 5.3, hasta 20 horas de batería y diseño ligero. #1 más vendido en Colombia. Envío gratis.",,SI,Color,Negro,,,,,"http://localhost:3000/productos/audifonos-xiaomi-redmi-buds-4-lite/1743447396buds4-1.png, http://localhost:3000/productos/audifonos-xiaomi-redmi-buds-4-lite/1743447396buds4-2.png, http://localhost:3000/productos/audifonos-xiaomi-redmi-buds-4-lite/1743447396buds4-W-1.png, http://localhost:3000/productos/audifonos-xiaomi-redmi-buds-4-lite/1743447396buds4-W.png, http://localhost:3000/productos/audifonos-xiaomi-redmi-buds-4-lite/1743447396buds4.png"
audifonos-xiaomi-redmi-buds-4-lite,Audífonos Xiaomi Redmi Buds 4 Lite - TWS Bluetooth 5.3,Tecnología,149900,94900,,,,,,,,SI,SI,"Con la avanzada tecnología Bluetooth 5.3, la conexión es rápida y estable, garantizando una experiencia de sonido envolvente y clara, sin interrupciones ni distorsión, además de optimizar el consumo de batería.

Fácil uso y carga inteligente
Saque los auriculares del estuche de carga y se emparejarán automáticamente con el dispositivo configurado. Su estuche compacto proporciona hasta 20 horas de reproducción continua, permitiendo múltiples recargas y extendiendo el tiempo de uso total.

Diseño ergonómico y resistente al agua
Los auriculares cuentan con un diseño semi in-ear y materiales ligeros que ofrecen comodidad y estabilidad, incluso durante actividades deportivas. Su protección IP54 los hace resistentes al sudor y la lluvia, ideales para entrenamientos y uso diario.",importado-de-vortixy,Xiaomi Redmi Buds 4 Lite | Audífonos Bluetooth,"Audífonos Xiaomi Redmi Buds 4 Lite con Bluetooth 5.3, hasta 20 horas de batería y diseño ligero. #1 más vendido en Colombia. Envío gratis.",,SI,Color,Blanco,,,,,
silla-gamer-premium-reposapies,Silla Gamer Ergonómica Premium con Reposapiés,Hogar,699900,499900,,,,,,,,SI,SI,"Diseñada para jugadores exigentes, esta silla gamer combina diseño deportivo, ergonomía y resistencia, brindándote la comodidad que necesitas para largas sesiones de juego, trabajo o estudio.

✔️ Diseño ergonómico con soporte lumbar y cojín cervical

✔️ Reclinable hasta 135°, ideal para relajarte entre partidas

✔️ Altura ajustable y reposabrazos cómodos

✔️ Base robusta con ruedas giratorias de 360°

✔️ Disponible en varios colores para que combines con tu setup

Ya no es solo una silla, ¡es parte de tu estrategia!",importado-de-vortixy,Silla Gamer Premium con Reposapiés | Comodidad Extrema,Silla ergonómica reclinable con reposapiés y cojines lumbar/cervical. Diseño pro para gamers y oficina. Envío garantizado.,,SI,Color,Negro Rojo,,,,,"http://localhost:3000/productos/silla-gamer-premium-reposapies/1766080689WhatsApp-Image-2025-12-18-at-11.27.22-AM-(1).jpeg, http://localhost:3000/productos/silla-gamer-premium-reposapies/1766080689WhatsApp-Image-2025-12-18-at-11.27.22-AM.jpeg, http://localhost:3000/productos/silla-gamer-premium-reposapies/1766080690WhatsApp-Image-2025-12-18-at-11.27.21-AM-(2).jpeg, http://localhost:3000/productos/silla-gamer-premium-reposapies/1766080690WhatsApp-Image-2025-12-18-at-11.27.21-AM.jpeg, http://localhost:3000/productos/silla-gamer-premium-reposapies/1766080691WhatsApp-Image-2025-12-18-at-11.27.20-AM.jpeg, http://localhost:3000/productos/silla-gamer-premium-reposapies/1766080691WhatsApp-Image-2025-12-18-at-11.27.21-AM-(1).jpeg"
silla-gamer-premium-reposapies,Silla Gamer Ergonómica Premium con Reposapiés,Hogar,699900,499900,,,,,,,,SI,SI,"Diseñada para jugadores exigentes, esta silla gamer combina diseño deportivo, ergonomía y resistencia, brindándote la comodidad que necesitas para largas sesiones de juego, trabajo o estudio.

✔️ Diseño ergonómico con soporte lumbar y cojín cervical

✔️ Reclinable hasta 135°, ideal para relajarte entre partidas

✔️ Altura ajustable y reposabrazos cómodos

✔️ Base robusta con ruedas giratorias de 360°

✔️ Disponible en varios colores para que combines con tu setup

Ya no es solo una silla, ¡es parte de tu estrategia!",importado-de-vortixy,Silla Gamer Premium con Reposapiés | Comodidad Extrema,Silla ergonómica reclinable con reposapiés y cojines lumbar/cervical. Diseño pro para gamers y oficina. Envío garantizado.,,SI,Color,Negro Azul,,,,,
silla-gamer-premium-reposapies,Silla Gamer Ergonómica Premium con Reposapiés,Hogar,699900,499900,,,,,,,,SI,SI,"Diseñada para jugadores exigentes, esta silla gamer combina diseño deportivo, ergonomía y resistencia, brindándote la comodidad que necesitas para largas sesiones de juego, trabajo o estudio.

✔️ Diseño ergonómico con soporte lumbar y cojín cervical

✔️ Reclinable hasta 135°, ideal para relajarte entre partidas

✔️ Altura ajustable y reposabrazos cómodos

✔️ Base robusta con ruedas giratorias de 360°

✔️ Disponible en varios colores para que combines con tu setup

Ya no es solo una silla, ¡es parte de tu estrategia!",importado-de-vortixy,Silla Gamer Premium con Reposapiés | Comodidad Extrema,Silla ergonómica reclinable con reposapiés y cojines lumbar/cervical. Diseño pro para gamers y oficina. Envío garantizado.,,SI,Color,Negro,,,,,
silla-gamer-premium-reposapies,Silla Gamer Ergonómica Premium con Reposapiés,Hogar,699900,499900,,,,,,,,SI,SI,"Diseñada para jugadores exigentes, esta silla gamer combina diseño deportivo, ergonomía y resistencia, brindándote la comodidad que necesitas para largas sesiones de juego, trabajo o estudio.

✔️ Diseño ergonómico con soporte lumbar y cojín cervical

✔️ Reclinable hasta 135°, ideal para relajarte entre partidas

✔️ Altura ajustable y reposabrazos cómodos

✔️ Base robusta con ruedas giratorias de 360°

✔️ Disponible en varios colores para que combines con tu setup

Ya no es solo una silla, ¡es parte de tu estrategia!",importado-de-vortixy,Silla Gamer Premium con Reposapiés | Comodidad Extrema,Silla ergonómica reclinable con reposapiés y cojines lumbar/cervical. Diseño pro para gamers y oficina. Envío garantizado.,,SI,Color,Negro Blanco,,,,,
silla-gamer-premium-reposapies,Silla Gamer Ergonómica Premium con Reposapiés,Hogar,699900,499900,,,,,,,,SI,SI,"Diseñada para jugadores exigentes, esta silla gamer combina diseño deportivo, ergonomía y resistencia, brindándote la comodidad que necesitas para largas sesiones de juego, trabajo o estudio.

✔️ Diseño ergonómico con soporte lumbar y cojín cervical

✔️ Reclinable hasta 135°, ideal para relajarte entre partidas

✔️ Altura ajustable y reposabrazos cómodos

✔️ Base robusta con ruedas giratorias de 360°

✔️ Disponible en varios colores para que combines con tu setup

Ya no es solo una silla, ¡es parte de tu estrategia!",importado-de-vortixy,Silla Gamer Premium con Reposapiés | Comodidad Extrema,Silla ergonómica reclinable con reposapiés y cojines lumbar/cervical. Diseño pro para gamers y oficina. Envío garantizado.,,SI,Color,Negro Gris,,,,,
silla-gamer-premium-reposapies,Silla Gamer Ergonómica Premium con Reposapiés,Hogar,699900,499900,,,,,,,,SI,SI,"Diseñada para jugadores exigentes, esta silla gamer combina diseño deportivo, ergonomía y resistencia, brindándote la comodidad que necesitas para largas sesiones de juego, trabajo o estudio.

✔️ Diseño ergonómico con soporte lumbar y cojín cervical

✔️ Reclinable hasta 135°, ideal para relajarte entre partidas

✔️ Altura ajustable y reposabrazos cómodos

✔️ Base robusta con ruedas giratorias de 360°

✔️ Disponible en varios colores para que combines con tu setup

Ya no es solo una silla, ¡es parte de tu estrategia!",importado-de-vortixy,Silla Gamer Premium con Reposapiés | Comodidad Extrema,Silla ergonómica reclinable con reposapiés y cojines lumbar/cervical. Diseño pro para gamers y oficina. Envío garantizado.,,SI,Color,Rosa,,,,,
air-fryer-freidora-10l-premium,Air Fryer Freidora de Aire 10L Premium con Ventana,Cocina,499900,329900,,,,,,,,SI,SI,"🥘 Freidora 10L Premium – Capacidad XL para tu cocina
La Freidora 10L Premium es el aliado perfecto para quienes buscan practicidad, capacidad y resultados deliciosos en la cocina. Su diseño de gran tamaño la convierte en una opción ideal para familias grandes, reuniones, negocios pequeños de comida o para quienes disfrutan de preparar recetas variadas sin complicaciones.

✅ Capacidad XL de 10 Litros
Con su amplio espacio, podrás cocinar porciones generosas de papas fritas, pollo, pescado, empanadas, arepas y mucho más en una sola tanda, ahorrando tiempo y energía.",importado-de-vortixy,Freidora de Aire 10L Premium | Con Ventana de Visualización,Air Fryer XL de 10 Litros con ventana frontal y acero inoxidable. Cocina saludable y profesional para toda la familia. #1 Trending Colombia.,,SI,Color,Acero Inoxidable/Negro,,,,,"http://localhost:3000/productos/air-fryer-freidora-10l-premium/1757706558D_NQ_NP_620013-MCO89672231768_082025-O.webp, http://localhost:3000/productos/air-fryer-freidora-10l-premium/1757706558D_NQ_NP_723096-MCO89672092094_082025-O.webp, http://localhost:3000/productos/air-fryer-freidora-10l-premium/1757706558D_NQ_NP_793140-MCO89672330972_082025-O.webp, http://localhost:3000/productos/air-fryer-freidora-10l-premium/1757706558D_NQ_NP_822739-MCO89672072432_082025-O.webp, http://localhost:3000/productos/air-fryer-freidora-10l-premium/1757706558D_NQ_NP_836983-MCO89672142028_082025-O.webp"
smartwatch-ultra-series-pantalla-grande,Smartwatch Ultra Series - Pantalla Grande Táctil,Tecnología,169900,109900,,,,,,,,SI,SI,"Reloj inteligente diseñado para uso diario que integra una pantalla digital de formato amplio, permitiendo una visualización clara de la información. Este tipo de dispositivo está orientado al seguimiento de actividad física y a la conexión de funciones básicas mediante conexión con un teléfono móvil compatible.

El equipo cuenta con una carcasa rectangular de mayor tamaño, fabricada en materiales plásticos con acabado resistente. Incorpora pantalla táctil a color, botones laterales de control y correa ajustable elaborada en silicona, adecuada para uso prolongado.",importado-de-vortixy,Smartwatch Ultra Series | Pantalla Táctil y Diseño Moderno,"Reloj inteligente con pantalla grande, modos deportivos y notificaciones. Diseño AAA moderno ideal para uso prolongado. Envío inmediato.",,SI,Color Correa,Naranja,,,,,"http://localhost:3000/productos/smartwatch-ultra-series-pantalla-grande/177007082533.png, http://localhost:3000/productos/smartwatch-ultra-series-pantalla-grande/177007082534.png, http://localhost:3000/productos/smartwatch-ultra-series-pantalla-grande/ChatGPT_Image_3_mar_2026__11_02_54_p.m.-removebg-preview.png"
